Account,total_trades,total_net_pnl,avg_trade_net_pnl,best_regime,worst_regime,specialization_gap
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,2127387.2794371797,183.70665009858004,Extreme Greed,Extreme Fear,1094825.54661194
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1592824.507675,520.3897786393693,Fear,Extreme Greed,1152206.011258
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,931567.100553781,30.40157511009547,Fear,Extreme Greed,615230.498392
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,822727.65336805,23.295244822321447,Extreme Greed,Neutral,453130.18505658
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,763997.91232431,7.543331362979646,Neutral,Extreme Fear,439579.22381542
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,669721.05824881,145.19197804331188,Fear,Extreme Greed,272883.637758
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,427804.12864871,127.9635262943414,Greed,Fear,511375.19221496
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,415794.86541,1807.6943295744531,Greed,Extreme Fear,227343.967012
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,376500.14756932,39.810138905482575,Extreme Greed,Neutral,213041.42249631998
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1424,360258.01118484,240.10855567569146,Extreme Fear,Neutral,203384.706406
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,268251.402313,55.472992315148375,Extreme Greed,Fear,140297.585415
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,215745.96336857,35.42991045225316,Fear,Neutral,325995.78007543
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,199237.625643021,586.2043976248832,Fear,Extreme Greed,95627.640570021
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,165549.808272,58.05896273591734,Extreme Greed,Fear,85555.73178
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,130246.4471875491,-0.9886676148590616,Extreme Greed,Extreme Fear,132698.689421165
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,123756.98333474,26.38752970770808,Extreme Greed,Fear,63494.96122683
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,108544.3806950676,118.59880843743379,Extreme Greed,Neutral,71915.98509899
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,104014.9198228958,6.514149845658395,Extreme Greed,Extreme Fear,46415.718656
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,102112.86963981809,2.2481938531557355,Extreme Greed,Extreme Fear,81255.65294685999
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,72656.54626749,0.20272371423550908,Extreme Greed,Fear,63246.833033530005
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,67296.89026639,101.12431321811279,Greed,Neutral,38026.085109
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,62128.775687420006,19.191109847630635,Greed,Extreme Fear,59546.242554020006
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,53319.973067083,881.217403313078,Extreme Greed,Extreme Fear,36663.80113892
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,45155.48262547,1.870640667508043,Extreme Greed,Neutral,47411.4068139
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,40124.46588052999,3.8107800862938745,Extreme Greed,Greed,80274.87065733
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,21217.0861435536,35.34750248740559,Fear,Extreme Fear,14151.3903925536
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,14120.22614404,101.4118502371061,Greed,Neutral,7229.042293740001
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,12998.262209930006,64.32440753607791,Fear,Extreme Fear,131001.66272366
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,-6154.672893999993,-2.811088920759108,Fear,Extreme Fear,75774.82161300001
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,-31350.674749380003,-19.735099646811545,Extreme Greed,Extreme Fear,87977.47348612
0x271b280974205ca63b716753467d5a371de622ab,3809,-79717.174168,32.154788706659964,Fear,Greed,128985.16456599999
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,-169200.51023292003,-39.63599495024876,Fear,Greed,511584.53455700004
